	per0	per1	per2	per3	per4	per5	per6	per7	per8	per9	per10	per11	per12	per13	per14	per15	per16	per17	per18	per19	per20	per21	per22	per23	per24	per25	per26	per27	per28	per29	per30	per31	per32	per33	per34	per35	per36	per37	per38	per39	per40	per41	per42	per43	per44	per45	per46	per47	per48	per49	per50	per51	per52	per53	per54	per55	per56	per57	per58	per59	per60	per61	per62	per63	per64	per65	per66	per67	per68	per69	per70	per71	per72	per73	per74	per75	per76	per77	per78	per79	per80	per81	per82	per83	per84	per85	per86	per87	per88	per89	per90	per91	per92	per93	per94	per95	per96	per97	per98	per99
var0	2.0114419603858047	2.088369895702611	2.023364204617536	2.124616825886566	2.043206954337343	2.095079193591126	2.069400289765654	2.0240872462681954	2.1115708832758773	2.137878771493311	2.1694592738159	2.0220715654329986	2.1311031150535804	2.1157894836021818	2.2344986015157504	2.2530121628300077	2.0731489894661843	2.047295837509714	2.0239667621673787	2.075503195966742	2.0093545503261963	2.0183453010591235	2.133037194383968	2.191076735870647	2.049302669991897	2.064051082841868	2.0052790051976412	2.022799873716305	2.1197335550437533	2.022853692625469	2.0662826674598294	2.1854954625013914	2.085067600798359	2.1008538196068955	2.034464419014747	2.050968654028638	2.0860449215906254	2.0205352026019523	2.1023465627818907	2.029438749365254	2.1200862575863777	2.2443414522557106	2.177073691323539	2.031019865761557	2.191534833490831	2.029589814154829	2.089956857063956	2.0903617690760425	2.14242137459336	2.020930598629911	2.0220388997190524	2.0290188112297205	2.1693306534283536	2.1044257345480237	2.1402647187584845	2.0582506675742946	2.0791456623256432	2.0778666075612855	2.0280119381939277	2.0338976254014294	2.0676033915199308	2.0293968950611347	2.0481781758201523	2.0106469713149773	2.2350752125634203	2.0606392413450525	2.084249731078704	2.0730093999270034	2.1846482194098167	2.0776246699721357	2.0292436854649565	2.020158240526049	2.029526145102336	2.2652843656178194	2.1359536392367473	2.072129408606723	2.064717548466809	2.02538163047511	2.0666093727322896	2.1547101418462864	2.1562793757796124	2.036723813337003	2.095754343543069	2.0432780535009174	2.0876912861753962	2.0510349847588683	2.0707536790359766	2.0744933274942645	2.0465087843558334	2.0048160410642395	2.1412157134274565	2.056464013524248	2.065252742107683	2.1424152197849677	2.075471365697576	2.016253604514613	2.0617034139580466	2.0274847880837163	2.060954329709542	2.031245485614569
var1	2.0749292394366834	2.2110955903931835	2.0637071012107007	2.0529000568032796	2.137682234041741	2.0531638105397545	2.053476814960913	2.0749895643744223	2.011174107610295	2.0350597359041274	2.1011015624850806	2.1806394755062115	2.098143838587372	2.163493907714298	2.1652034700232012	2.204626159968674	2.0593139611693894	2.0310740138265895	2.0543254181318606	2.075833053870981	2.104616570009131	2.1032399801460437	2.005689256585324	2.14197294177487	2.0367971392879736	2.084356908673896	2.086871991502852	2.008598410120937	2.261069037400239	2.119880585647696	2.0892213615232	2.1297895033609198	2.046667207706662	2.1685038500990665	2.003103275911055	2.009518647885277	2.190080569406197	2.0200065388920283	2.0435543153629694	2.1649624262480023	2.0234234736779864	2.0026804267546376	2.0962523684775074	2.155087003394453	2.122860358818125	2.092523127307523	2.065849620611642	2.0203774515837525	2.102927148073611	2.1064866897549006	2.0471835930815927	2.1408469613167678	2.0048618527509414	2.026742129191115	2.105452778241785	2.110806900752618	2.21663207198921	2.1073486135801254	2.1396554860707844	2.092286436649892	2.1179685562046644	2.0452306560604505	2.0177886731648784	2.039979450245791	2.0823869063916707	2.0919717493345487	2.0016496993746618	2.178591405544207	2.0182478999341305	2.1106099199835717	2.070742558869777	2.02087573288505	2.002531192512789	2.1169334132708673	2.0742438412402646	2.0576476459792787	2.025541441958304	2.062071400133583	2.129333646426166	2.132629960402516	2.1111426073516837	2.0853348137777843	2.0775714594439703	2.0057835562047517	2.1257832548762288	2.063393116151156	2.086473880230665	2.1707118993756485	2.056104317970882	2.088241332766158	2.0501650244197016	2.1347267682346946	2.0202023345749467	2.034721604895974	2.013862685937717	2.1923640401330746	2.1638603376813825	2.058558314534577	2.0834145913022137	2.0557029636437045
var2	2.056794307001034	2.0618773782842474	2.163005863210928	2.0195805820014225	2.0383205805458786	2.0907620199552452	2.018647844435973	2.0902284059523746	2.173100867712469	2.0566654241237763	2.0775064929224514	2.037416102487798	2.158858766915672	2.1494171578235997	2.0350153191816287	2.0844945887761615	2.0042955181730813	2.005495367707425	2.0557051020315256	2.0922477963498607	2.303504968793182	2.0111733442964153	2.072341887292462	2.046796027914545	2.0372819580569876	2.027269108759876	2.1579099596038716	2.1116806666366603	2.029527468105405	2.0927456135226663	2.1409465110403705	2.0107885466324253	2.032520146741398	2.1176238047866893	2.225679542463159	2.0773131996610044	2.0522343389027164	2.0341460033491043	2.0113827100561052	2.010306674726071	2.0630857042799833	2.038025914747637	2.1645638486870094	2.1231711863624434	2.184356099160082	2.062657804332352	2.004755023865018	2.0220527943655857	2.0531613887779887	2.02899829031117	2.1076283230142727	2.0814886022452423	2.1320910651263123	2.19835026799256	2.11079028682495	2.0933723082508755	2.037371874128244	2.0091735973134823	2.0281754388231463	2.0628413042901643	2.0756251161910106	2.0028319883551085	2.022206166156615	2.0061857906832787	2.137111915105796	2.126898181459493	2.0455160498032288	2.169116569670201	2.1005158779067954	2.0607697771005506	2.044020668609596	2.0183622132465735	2.114030820905741	2.0672005677578595	2.151140084127582	2.211461074716724	2.075996483429692	2.012146653599142	2.0870824027843016	2.0718775347750817	2.128109479296776	2.060457473648102	2.2524195233202966	2.030927009773001	2.022635596311455	2.145866859278621	2.1408122295039527	2.0049398676188317	2.118150439727036	2.1173249384304285	2.060289109963195	2.182913887619415	2.096254924653944	2.0385542673590686	2.005002244282216	2.1131901803439015	2.0761865844495913	2.12081397073964	2.0724652352988437	2.0646803042837725
var3	2.0388051083893095	2.0142886699421556	2.04054187979483	2.1048925925611206	2.1532339686519935	2.157153453087876	2.021022988966512	2.2450179924225537	2.141168391575337	2.1585011460195225	2.083690644524287	2.168898415588397	2.105499181683571	2.1125520598672844	2.119765657190773	2.1256974392128845	2.011315804899564	2.041335366424831	2.0855030066302014	2.198011890832951	2.0383563515285927	2.0242472140104777	2.042599057140652	2.0368181463368265	2.0355942283379354	2.0863103853350573	2.060584067143574	2.199725452893148	2.105275684061821	2.1046129115672176	2.1268305736806896	2.0087199869739125	2.0540084052999235	2.036326535728124	2.100486409771374	2.020200749260505	2.0742968494795995	2.0591733335447837	2.1004450432717885	2.0818036927810266	2.024734106319352	2.116298786787604	2.0514428474223565	2.085591202997171	2.098924955875671	2.063725275865127	2.1019585910998178	2.025543260970822	2.015591183266008	2.0229308917363626	2.0117483059727057	2.0107770539876064	2.12530346699454	2.098565262010601	2.01378249721868	2.038465050591026	2.034615643451352	2.0009643986119023	2.145870082847322	2.09596310193076	2.0625171367892987	2.062180323658674	2.0243805310096623	2.041858480075878	2.0745565682646374	2.0706376094709213	2.060486345785827	2.1606618699956717	2.139724071884589	2.072963996222528	2.10572738758053	2.0028967843118277	2.09521826146455	2.0383619781564244	2.044341192809446	2.0149866665953127	2.0006348785396284	2.046769615639498	2.0581549403383956	2.0498294337403133	2.051435204979188	2.0914341981173195	2.105369603932023	2.0198039279875872	2.024334332507642	2.0028009481332227	2.0374219506255935	2.0887281506021336	2.024775044531659	2.090124174938632	2.095031808780088	2.1369184289922942	2.1114365447355703	2.0173728331501484	2.0051445347648245	2.1604717209068474	2.0006111409780094	2.052931765157287	2.013785703911187	2.118572895267955
var4	2.101088082117061	2.1641164094561676	2.182344241661591	2.1701679078602134	2.141441653266423	2.0681591609945813	2.1088788429379877	2.097155549375005	2.1499427795032533	2.0494674768386476	2.0344543412854765	2.1648791956210736	2.0161344300303727	2.1248227785159854	2.077111986763227	2.0753895691814566	2.0668969157816752	2.1282797468161907	2.064418428223661	2.127830974735775	2.014824929603831	2.107897862040026	2.1166506354135395	2.0737967003429167	2.2133909196874564	2.22521932690871	2.002165228234666	2.0291716386229015	2.0171303639147955	2.0500897982936346	2.0889170333324323	2.1160954184369007	2.0694866991927876	2.0765451977553706	2.0997270738603144	2.082612238762763	2.0349798360081968	2.083705823104624	2.0478248258102614	2.003886026147441	2.069028329667933	2.021073563421195	2.0677489630140924	2.0026210438697407	2.0379286985971232	2.0038155241619195	2.032319755356142	2.0701794938903384	2.04458068145326	2.180842006783822	2.0334578638801055	2.0931913082185343	2.0674378850620667	2.0656212713793853	2.0573080139599127	2.0960196684729575	2.12449341935809	2.109243434774246	2.0727543224062193	2.1164984261034383	2.0906919365733336	2.0725956654045494	2.0643626070521806	2.0016383570889538	2.0162552716063264	2.054084178483001	2.0022421212548953	2.005044475569025	2.033858285797008	2.0522019715974387	2.0513612046102123	2.1271876492095045	2.0009771061907933	2.09528991509593	2.018605126740266	2.0489655097490553	2.1436712743409054	2.022602014286884	2.003209380610337	2.127400975012152	2.0737732448366364	2.0147471293131733	2.01819626831538	2.1627655173349973	2.1701214711680477	2.090639237058347	2.041875420550266	2.0833639106116455	2.104430282416764	2.084732511261789	2.037273784349475	2.099013299756468	2.030497473529736	2.0480154592451085	2.1522738835586437	2.0035994959395174	2.060331465091193	2.008969938954515	2.067627041353935	2.1297139987287483
var5	2.1563412963641566	2.092660760739463	2.1208281080164695	2.005310500455039	2.08327847174322	2.0275984602337727	2.120050024403316	2.076072331576052	2.0219069027179084	2.0651230138341314	2.026900669855965	2.1156664059347654	2.157343777267152	2.067910668656199	2.1580155107146886	2.0462472526433286	2.0395514465232987	2.0503766084038935	2.000432716552366	2.196172076560981	2.1168696893937846	2.071545320171232	2.09790556603493	2.017351383546072	2.0669248084472644	2.037656718867803	2.1597846017639353	2.006696590234034	2.0787366175260145	2.00875761238203	2.1903232302677864	2.0002845306318893	2.008605769832787	2.0574871691627297	2.124411968883632	2.0731370902676463	2.021837558284618	2.0667068570055362	2.1309622063010503	2.0160313968931574	2.0417323341785845	2.1032403654578347	2.0685598037446264	2.008191405623372	2.0728352634118465	2.1204761571420176	2.0706676822555767	2.0114589126890023	2.027861045708002	2.0502108981704077	2.127437970375094	2.002491808115572	2.0597021381939555	2.282008004670022	2.0178040552617684	2.0612834392076564	2.053259081063433	2.0109596131546588	2.0076571292548544	2.0551665304401423	2.0706929684222297	2.174080205719583	2.0703667365882628	2.07954314687088	2.12055866554738	2.066558986333604	2.0200285187100815	2.060588388632848	2.2734591434250957	2.1033487552256953	2.0683272034317244	2.0891701417745767	2.1233952792893422	2.035916056601385	2.0188260091067396	2.071138753473946	2.0434500060147047	2.0675592939639937	2.120146575713344	2.027023125984429	2.1105785337002936	2.0748432974306725	2.133712569127474	2.014440523207286	2.1263388864504424	2.0482289845041652	2.0777049242227448	2.0813037584981022	2.009269715075307	2.1267416448255068	2.092751427964036	2.1079266708908744	2.0374396487508752	2.1107946313769967	2.1060028449956745	2.0183609940071876	2.1401982536790047	2.1123742742150355	2.052780757945151	2.112942425334007
var6	2.002292259856059	2.003647218734103	2.0205370404817247	2.0073590297112367	2.0441585626752383	2.2022977797165986	2.083409564521357	2.0650311011831044	2.1715363377991777	2.081339834071744	2.0808575033332284	2.000392456220275	2.0771640053624782	2.0892808619522643	2.0365894270490035	2.0027317374516675	2.1001490926521273	2.110042240789666	2.0146297008859024	2.011733841421525	2.0427014210311354	2.0178945764312974	2.0140507742181826	2.1535596419117686	2.1181118689587604	2.0677524470723734	2.0673550604973734	2.011864798257726	2.017475412983159	2.043361239691269	2.181905322836222	2.088063460051854	2.111304094019547	2.0937709032324636	2.027379116430035	2.0841311420039914	2.0994937961858606	2.0606079460449243	2.1045594223207917	2.0346260902534254	2.0259304551543	2.065997095248025	2.0363174418545804	2.122733713778889	2.047364627900237	2.0500452714723547	2.1628593298338767	2.0435853796369794	2.0734750556033434	2.0048723895308562	2.0086211737030566	2.06655062206976	2.100569564281436	2.039659146947129	2.166851055168043	2.074956103292495	2.0240662620337795	2.0955026842976836	2.0992513420957737	2.0084779079191963	2.226185977346466	2.0404519167362536	2.09064719872223	2.081954475681971	2.1998886144653857	2.0041626473260234	2.0060694699333586	2.1715298496698336	2.080730954100119	2.037446374537463	2.1222598412436144	2.1678625970310206	2.089222799500797	2.047319646179714	2.077780437400246	2.042789460532241	2.1363007002742407	2.130700044281032	2.0132638483652636	2.0037979692791876	2.1545985453673424	2.060725294596361	2.100179665214379	2.0757101585813156	2.137178098553125	2.150809516980445	2.003267515547757	2.0047604205598226	2.065844687999799	2.0701614709934546	2.006923209389483	2.0651205998692936	2.081796139355761	2.067124092244731	2.0220814145925035	2.2011827993695716	2.1124487447320495	2.1341160178419267	2.060364146545158	2.0095796275259894
var7	2.229635052143595	2.0589239934301067	2.031380161274844	2.0943165047246075	2.2434088095209885	2.068723724806224	2.0438350520875734	2.0221229449569367	2.0371105313467135	2.0709308131545154	2.184962522521592	2.018554835510208	2.044638586291227	2.1448660514860984	2.192041787485042	2.0766808019385863	2.038321544337419	2.1437285012390785	2.0154597157244716	2.116673783958766	2.0347211426440417	2.0555405572861796	2.0176025557762474	2.07686227528824	2.052402168463405	2.0555507971057456	2.1017435791952397	2.0047560010058953	2.003734726720236	2.063514029406883	2.007513935085711	2.070415325605133	2.010327917248289	2.0040606226887365	2.0006620452528288	2.0931841073271644	2.2550766883606514	2.0377935110450807	2.0492783394180596	2.0115833081490386	2.0627143291588492	2.025845272431645	2.020880612631592	2.0126656230224937	2.046066257752894	2.072821039255429	2.054527921788351	2.058446226750311	2.0573430609561334	2.046092802320361	2.186126041159409	2.022582650005392	2.0411525502357293	2.017433927901027	2.151096290114099	2.0620190666633573	2.0402067640942154	2.1051959150317945	2.048339546029152	2.0491484045429598	2.013745989610407	2.1223548168486275	2.0036082939179716	2.0761288321424813	2.0444148711738337	2.0540349967546483	2.0079044494591725	2.1045182141569	2.01280087201598	2.06261067116532	2.076154548076525	2.081240372721576	2.016841073478772	2.029936502809844	2.0998235976906887	2.0263433485738336	2.071162428158914	2.204886400852273	2.026192953794907	2.1949615985018807	2.079431664098494	2.016856732434491	2.097998396061983	2.0496236960156042	2.0249137844739926	2.132683033435299	2.1391685376297325	2.0197249266171258	2.076411256527413	2.086849556804075	2.1657029574649673	2.1110058615726532	2.085738961761166	2.022787431692772	2.123184206129121	2.0430821410020235	2.075214180034518	2.0399406036655487	2.083744611131198	2.0623133027121137
var8	2.1870772520900426	2.057272655711335	2.0633935658201614	2.0300056784267912	2.143219724218583	2.109432488712075	2.0993606054661416	2.0846185324046234	2.085183397022602	2.032347917603538	2.1276700828544115	2.146597039448961	2.15350528719636	2.2380283845389277	2.047231725591606	2.119009909576415	2.092118935028253	2.033083768096751	2.1762285679061653	2.1452426242937097	2.0734865948980348	2.0869462494750666	2.014759381255877	2.087100762841131	2.1878387902574987	2.010148250701898	2.0033671724540265	2.194261052505214	2.0457961816242682	2.075144746791598	2.1107057923529413	2.129071760315615	2.0769538242199617	2.044439307026916	2.0181380444412667	2.275014048686437	2.163821382698665	2.0301225189693226	2.0975832959585476	2.1160535290744975	2.012136045116027	2.1592105408620537	2.068848165439851	2.0397198286048135	2.055222332041317	2.0256603769522963	2.220318381271565	2.0453657559197955	2.020258535161273	2.0205521439412175	2.142261168625136	2.1879324247595107	2.133757541811565	2.018361121899047	2.286530189672323	2.076474457048404	2.0390648255694557	2.0556879985325955	2.059384694938626	2.0732620121394554	2.093842827639811	2.0966288403510913	2.11901930940471	2.040785303389415	2.03860119385583	2.0089806429080803	2.0018740501713657	2.108978402077838	2.0969917758293373	2.025440548149661	2.1040604067266377	2.1081154526055426	2.3729267314171416	2.1528937541183906	2.0693207332950676	2.029228547947378	2.2154590596308683	2.071769796844835	2.098764170911164	2.077998320813757	2.03198471287211	2.1792154931976024	2.0015921624101987	2.068685405461064	2.111060956608695	2.0047969790720845	2.0085850369430776	2.0660873002914832	2.077659913919788	2.010505813059088	2.03422753282891	2.0327973649878572	2.224056010937865	2.0847351852984057	2.0980744643750935	2.1362096957429944	2.0218655458169046	2.037906093226177	2.00062415371431	2.0378010712470123
var9	2.162274915359845	2.1589849912358368	2.1380371503586106	2.0728531573165703	2.0242962171992844	2.140818613833105	2.114339765506032	2.013255987585062	2.061344731585934	2.0053006804445426	2.1655439437773536	2.0200981037281487	2.067538354806209	2.0734330583366303	2.108562304968839	2.030631041449092	2.0724635025638283	2.0839483280640354	2.0821204076763205	2.137755759177363	2.0483119521638367	2.1554429300722138	2.1982541687022907	2.0581461117526962	2.055786246962906	2.121643013578537	2.020714468904546	2.113849630437916	2.0411197976004964	2.0702567156429246	2.023844254847403	2.242006529779091	2.1885719488912976	2.142939682746774	2.0514936748061596	2.0796321879776127	2.0599550147692325	2.1662819987370914	2.1224700400761884	2.025517687919673	2.0195085790160103	2.1643764822914893	2.0581647463157706	2.1387691533819506	2.012057254063402	2.1127647449757174	2.088287682578836	2.1095037097362077	2.151378112131991	2.1424807523328067	2.1952561139663036	2.1001671421359607	2.0106858212151244	2.0582797325031397	2.014847935439408	2.056995056921054	2.1140912981425517	2.0710262124173746	2.0350765713589802	2.16975198576624	2.0069034827380885	2.0298042584562066	2.035898700291189	2.1567811792779836	2.0031785716953334	2.0615806843805737	2.122054940092568	2.131478640051408	2.1557284218355304	2.0974377638794417	2.017171016905977	2.007985001075983	2.0696920173793596	2.065894118227594	2.1310611825945704	2.1768518483212986	2.051385104452732	2.0610120726403003	2.055168827865434	2.02309193166131	2.07566667416978	2.070624914174925	2.1205023733664885	2.0251629916640623	2.0385770334592674	2.029481804254967	2.0011594434617113	2.0568235560571706	2.079740143553622	2.164948045564934	2.0126065711048113	2.054202699478941	2.0460362960839005	2.095162361536093	2.0353491555559518	2.1329229094059663	2.0473196676886203	2.1619708925355177	2.139723054383559	2.0899712403261077
